5.0, 5.0, 1, 5
9.0, 5.0, 2, 5
1.0, 9.0, 2, 5
5.0, 9.0, 2, 5
5.0, 7.0, 2, 5
9.0, 1.0, 3, 5
1.0, 3.0, 4, 5
5.0, 1.0, 2, 5
1.0, 3.0, 3, 5
7.0, 5.0, 3, 5
1.0, 7.0, 1, 5
9.0, 5.0, 1, 5
9.0, 7.0, 3, 5
5.0, 7.0, 1, 5
9.0, 1.0, 2, 5
3.0, 3.0, 1, 5
1.0, 5.0, 3, 5
3.0, 1.0, 4, 5
5.0, 1.0, 1, 5
3.0, 5.0, 2, 5
7.0, 5.0, 2, 5
5.0, 3.0, 2, 5
1.0, 3.0, 1, 5
7.0, 5.0, 1, 5
3.0, 9.0, 2, 5
3.0, 9.0, 4, 5
3.0, 3.0, 3, 5
7.0, 9.0, 2, 5
1.0, 5.0, 2, 5
1.0, 1.0, 4, 5
3.0, 5.0, 1, 5
7.0, 1.0, 3, 5
3.0, 1.0, 2, 5
9.0, 9.0, 4, 5
7.0, 1.0, 2, 5
3.0, 1.0, 1, 5
5.0, 9.0, 4, 5
3.0, 7.0, 1, 5
5.0, 9.0, 3, 5
1.0, 7.0, 3, 5
7.0, 7.0, 1, 5
5.0, 1.0, 4, 5
1.0, 1.0, 2, 5
7.0, 3.0, 3, 5
9.0, 7.0, 4, 5
9.0, 3.0, 2, 5
5.0, 5.0, 4, 5
9.0, 1.0, 4, 5
3.0, 3.0, 2, 5
3.0, 7.0, 4, 5
5.0, 9.0, 1, 5
9.0, 9.0, 3, 5
9.0, 3.0, 1, 5
9.0, 9.0, 2, 5
1.0, 3.0, 2, 5
1.0, 5.0, 1, 5
9.0, 7.0, 2, 5
3.0, 9.0, 3, 5
9.0, 1.0, 1, 5
9.0, 5.0, 4, 5
7.0, 3.0, 4, 5
1.0, 9.0, 4, 5
3.0, 5.0, 4, 5
5.0, 5.0, 3, 5
1.0, 7.0, 2, 5
7.0, 7.0, 3, 5
7.0, 9.0, 1, 5
5.0, 1.0, 3, 5
1.0, 5.0, 4, 5
3.0, 9.0, 1, 5
3.0, 5.0, 3, 5
9.0, 3.0, 3, 5
9.0, 5.0, 3, 5
7.0, 1.0, 1, 5
5.0, 7.0, 4, 5
1.0, 9.0, 3, 5
5.0, 7.0, 3, 5
5.0, 3.0, 4, 5
1.0, 9.0, 1, 5
5.0, 3.0, 3, 5
1.0, 1.0, 1, 5
7.0, 5.0, 4, 5
7.0, 3.0, 1, 5
7.0, 1.0, 4, 5
3.0, 1.0, 3, 5
7.0, 9.0, 4, 5
7.0, 3.0, 2, 5
5.0, 3.0, 1, 5
3.0, 7.0, 2, 5
1.0, 7.0, 4, 5
7.0, 7.0, 2, 5
7.0, 7.0, 4, 5
9.0, 9.0, 1, 5
3.0, 3.0, 4, 5
3.0, 7.0, 3, 5
7.0, 9.0, 3, 5
1.0, 1.0, 3, 5
9.0, 7.0, 1, 5
9.0, 3.0, 4, 5
5.0, 5.0, 2, 5
