((9, 1, 4), frozenset({'base2'}), 1), -149989.9961762488
((5, 1, 4), frozenset({'obstacle'}), 2), 350005.3244112471
((9, 7, 1), frozenset(), 5), 350003.9910779138
((5, 7, 1), frozenset(), 1), -49972.300090827186
((9, 3, 4), frozenset(), 5), 350003.9910779138
((3, 3, 3), frozenset(), 5), 350007.14897265064
((5, 1, 2), frozenset({'obstacle'}), 1), 350001.9910779138
((7, 7, 3), frozenset(), 7), -149967.6923481542
((5, 3, 1), frozenset(), 7), -149969.50142412906
((3, 7, 2), frozenset(), 7), -149960.35637729682
((9, 5, 2), frozenset(), 5), 350005.3244112471
((1, 7, 3), frozenset(), 6), -149942.65269582014
((5, 9, 2), frozenset(), 5), 350003.9910779138
((1, 1, 3), frozenset(), 7), -149998.9961762488
((7, 7, 1), frozenset(), 6), -149934.2862785412
((1, 7, 2), frozenset(), 6), -149944.80375402083
((5, 1, 3), frozenset({'obstacle'}), 4), 350005.3244112471
((7, 9, 1), frozenset(), 6), -149921.58652562555
((1, 5, 4), frozenset(), 6), -149941.15298681706
((5, 1, 1), frozenset({'obstacle'}), 1), 350003.9910779138
((1, 7, 4), frozenset(), 0), -49956.3355238606
((3, 3, 2), frozenset(), 6), -149990.3961762488
((3, 3, 4), frozenset(), 6), -149989.9961762488
((3, 9, 1), frozenset(), 0), -49963.451441178295
((7, 7, 2), frozenset(), 0), -49966.42242621825
((1, 1, 4), frozenset(), 1), -49964.32815882571
((7, 7, 4), frozenset(), 0), -49965.44772099461
((3, 7, 3), frozenset(), 0), -49963.730596646856
((7, 9, 3), frozenset(), 0), -49972.70646637407
((9, 5, 3), frozenset(), 6), -149931.09839668105
((1, 7, 1), frozenset(), 5), 350003.9910779138
((9, 1, 4), frozenset({'base2'}), 5), 350003.9910779138
((9, 7, 1), frozenset(), 0), -49970.37723905044
((5, 1, 4), frozenset({'obstacle'}), 6), 350005.3244112471
((5, 7, 2), frozenset(), 7), -149977.71040912357
((9, 9, 3), frozenset({'base1'}), 5), 350001.9910779138
((5, 7, 1), frozenset(), 5), 350003.9910779138
((9, 9, 2), frozenset({'base1'}), 5), 350003.9910779138
((9, 3, 4), frozenset(), 0), -49961.983200092014
((3, 3, 3), frozenset(), 0), -49959.54732615451
((7, 3, 3), frozenset({'obstacle'}), 6), 350003.9910779138
((1, 3, 4), frozenset(), 7), -149982.78028890354
((5, 1, 2), frozenset({'obstacle'}), 5), 350001.9910779138
((9, 5, 2), frozenset(), 0), -49966.622672766985
((1, 3, 3), frozenset(), 7), -149986.60616053134
((3, 5, 2), frozenset(), 5), 350005.9910779138
((1, 7, 3), frozenset(), 1), -49971.83614223777
((7, 5, 3), frozenset(), 7), -149967.8619294157
((5, 9, 2), frozenset(), 0), -49966.29749890509
((7, 7, 1), frozenset(), 1), -49974.22736540154
((1, 7, 2), frozenset(), 1), -49969.154617496046
((7, 9, 1), frozenset(), 1), -49971.60924507789
((9, 9, 1), frozenset({'base1'}), 6), -149989.9961762488
((7, 5, 4), frozenset(), 0), -49962.12000261201
((3, 1, 4), frozenset(), 7), -149989.9961762488
((3, 3, 2), frozenset(), 1), -49969.42722934993
((3, 3, 4), frozenset(), 1), -49971.40840719318
((5, 1, 1), frozenset({'obstacle'}), 5), 350003.9910779138
((9, 3, 2), frozenset(), 1), -149986.66284291545
((7, 3, 1), frozenset({'obstacle'}), 7), 350007.14897265064
((1, 1, 4), frozenset(), 5), 350001.9910779138
((9, 5, 3), frozenset(), 1), -49983.198725416296
((7, 5, 2), frozenset(), 7), -149969.14705063796
((1, 7, 1), frozenset(), 0), -49959.36277271999
((9, 1, 4), frozenset({'base2'}), 0), 30034.50990112321
((9, 9, 3), frozenset({'base1'}), 0), -49976.110721693214
((5, 1, 4), frozenset({'obstacle'}), 1), 350005.3244112471
((5, 7, 1), frozenset(), 0), -49964.32045654604
((9, 9, 2), frozenset({'base1'}), 0), -49979.4440550265
((7, 3, 3), frozenset({'obstacle'}), 1), 350003.9910779138
((9, 1, 3), frozenset({'base2'}), 1), -149989.9961762488
((1, 9, 4), frozenset({'base3'}), 5), 350001.9910779138
((5, 1, 2), frozenset({'obstacle'}), 0), 350001.9910779138
((7, 7, 3), frozenset(), 6), -149937.94189791632
((3, 7, 2), frozenset(), 6), -149946.89537088675
((3, 5, 2), frozenset(), 0), -49958.54339082827
((9, 3, 1), frozenset(), 1), -149983.9961762488
((1, 7, 3), frozenset(), 5), 350003.9910779138
((7, 7, 1), frozenset(), 5), 350003.9910779138
((1, 1, 3), frozenset(), 6), -149998.9961762488
((9, 3, 3), frozenset(), 6), -149916.4023508084
((9, 1, 2), frozenset({'base2'}), 1), -149989.9961762488
((9, 9, 1), frozenset({'base1'}), 1), -49973.12826555286
((5, 1, 1), frozenset({'obstacle'}), 0), 350003.9910779138
((3, 3, 2), frozenset(), 5), 350003.9910779138
((3, 3, 4), frozenset(), 5), 350003.9910779138
((5, 9, 4), frozenset(), 7), -149989.9961762488
((7, 3, 1), frozenset({'obstacle'}), 2), 350007.14897265064
((1, 1, 4), frozenset(), 0), -49951.14699250832
((9, 3, 2), frozenset(), 5), 350003.9910779138
((5, 7, 2), frozenset(), 6), -149969.60023003473
((1, 9, 4), frozenset({'base3'}), 0), -49957.858149465
((7, 3, 3), frozenset({'obstacle'}), 5), 350003.9910779138
((9, 1, 3), frozenset({'base2'}), 5), 350001.9910779138
((7, 7, 3), frozenset(), 1), -49977.44448286722
((1, 3, 4), frozenset(), 6), -149978.8040436033
((9, 7, 4), frozenset(), 7), -149967.18720086163
((1, 5, 3), frozenset(), 7), -149966.2772357877
((9, 3, 1), frozenset(), 5), 350005.2542358085
((7, 7, 1), frozenset(), 0), -49967.44108287843
((1, 1, 3), frozenset(), 1), -49965.381379027735
((9, 3, 3), frozenset(), 1), -149983.32950958214
((1, 5, 1), frozenset(), 5), 350005.3244112471
((7, 3, 2), frozenset({'obstacle'}), 4), 350003.9910779138
((9, 1, 2), frozenset({'base2'}), 5), 350001.9910779138
((9, 9, 1), frozenset({'base1'}), 5), 350001.9910779138
((3, 3, 2), frozenset(), 0), -49956.35226775676
((7, 3, 4), frozenset({'obstacle'}), 3), 350007.14897265064
((9, 3, 2), frozenset(), 0), -49961.44854256358
((1, 9, 2), frozenset({'base3'}), 1), -49967.60297992554
((7, 3, 1), frozenset({'obstacle'}), 6), 350007.14897265064
((7, 5, 2), frozenset(), 6), -149923.93039089453
((1, 3, 2), frozenset(), 7), -149996.1961762488
((5, 7, 2), frozenset(), 1), -49974.42415975921
((3, 5, 1), frozenset(), 7), -149977.84335464114
((9, 1, 1), frozenset({'base2'}), 7), -149989.9961762488
((7, 3, 3), frozenset({'obstacle'}), 0), 350003.9910779138
((9, 1, 3), frozenset({'base2'}), 0), 30034.50990112321
((7, 7, 3), frozenset(), 5), 350003.9910779138
((9, 3, 1), frozenset(), 0), -49965.316533425284
((3, 7, 1), frozenset(), 7), -149957.86590959452
((5, 5, 1), frozenset(), 6), -149945.17413432096
((1, 5, 1), frozenset(), 0), -49957.785210854796
((3, 1, 3), frozenset(), 1), -49966.14168810707
((9, 3, 3), frozenset(), 5), 350001.9910779138
((9, 1, 2), frozenset({'base2'}), 0), 30037.49235726356
((9, 9, 1), frozenset({'base1'}), 0), -49973.12826555286
((7, 3, 1), frozenset({'obstacle'}), 1), 350007.14897265064
((7, 3, 4), frozenset({'obstacle'}), 7), 350007.14897265064
((1, 9, 2), frozenset({'base3'}), 5), 350003.9910779138
((1, 9, 3), frozenset({'base3'}), 7), -149950.62440061467
((5, 9, 1), frozenset(), 7), -149989.9961762488
((5, 7, 4), frozenset(), 7), -149960.3970614864
((9, 7, 4), frozenset(), 6), -149918.87073052162
((1, 5, 3), frozenset(), 6), -149938.80040912447
((5, 7, 3), frozenset(), 7), -149963.67414921126
((5, 5, 1), frozenset(), 1), -49976.676090277135
((1, 9, 1), frozenset({'base3'}), 6), -149949.46876415075
((9, 3, 3), frozenset(), 0), -49961.983200092014
((3, 1, 3), frozenset(), 5), 350005.2542358085
((5, 3, 4), frozenset(), 7), -149986.1855846853
((7, 3, 2), frozenset({'obstacle'}), 3), 350003.9910779138
((5, 3, 3), frozenset(), 7), -149983.41115267263
((1, 3, 1), frozenset(), 6), -149993.29617624878
((7, 3, 4), frozenset({'obstacle'}), 2), 350007.14897265064
((1, 9, 2), frozenset({'base3'}), 0), -49960.84060560535
((7, 3, 1), frozenset({'obstacle'}), 5), 350007.14897265064
((1, 5, 2), frozenset(), 6), -149943.0682855908
((3, 5, 1), frozenset(), 6), -149970.19454988424
((7, 1, 4), frozenset(), 7), -149982.060675202
((3, 1, 2), frozenset(), 6), -149989.9961762488
((3, 9, 3), frozenset(), 0), -49966.784774511565
